Nama Kabupaten,latitude,longitude
KABUPATEN SIMEULUE,2.583333,96.083333
KABUPATEN ACEH SINGKIL,2.3589459,97.87216
KABUPATEN ACEH SELATAN,3.3115056,97.3516558
KABUPATEN ACEH TENGGARA,3.3088666,97.6982272
KABUPATEN ACEH TIMUR,5.255443,95.9885456
KABUPATEN ACEH TENGAH,4.4482641,96.8350999
KABUPATEN ACEH BARAT,4.4542745,96.1526985
KABUPATEN ACEH BESAR,5.4529168,95.4777811
KABUPATEN PIDIE,5.0742659,95.940971
KABUPATEN BIREUEN,5.18254,96.89005
KABUPATEN ACEH UTARA,4.9786331,97.2221421
KABUPATEN ACEH BARAT DAYA,3.0512643,97.3368031
KABUPATEN GAYO LUES,3.955165,97.3516558
KABUPATEN ACEH TAMIANG,4.2328871,98.0028892
KABUPATEN NAGAN RAYA,4.1248406,96.4929797
KABUPATEN ACEH JAYA,4.7873684,95.6457951
KABUPATEN BENER MERIAH,4.7748348,97.0068393
KABUPATEN PIDIE JAYA,5.1548063,96.195132
KOTA BANDA ACEH,5.55,95.3166667
KOTA SABANG,5.8946929,95.3192982
KOTA LANGSA,4.48,97.9633333
KOTA LHOKSEUMAWE,5.1880556,97.1402778
KOTA SUBULUSSALAM,2.6449927,98.0165205
KABUPATEN NIAS,-8.1712591,113.7111274
KABUPATEN MANDAILING NATAL,0.7432372,99.3673084
KABUPATEN TAPANULI SELATAN,1.5774933,99.2785583
KABUPATEN TAPANULI TENGAH,1.8493299,98.704075
KABUPATEN TAPANULI UTARA,2.0405246,99.1013498
KABUPATEN TOBA SAMOSIR,2.3502398,99.2785583
KABUPATEN LABUHAN BATU,2.26667,100.1
KABUPATEN ASAHAN,2.8174722,99.634135
KABUPATEN SIMALUNGUN,2.9781612,99.2785583
KABUPATEN DAIRI,2.8675801,98.265058
KABUPATEN KARO,3.1052909,98.265058
KABUPATEN DELI SERDANG,3.4201802,98.704075
KABUPATEN LANGKAT,3.8653916,98.3088441
KABUPATEN NIAS SELATAN,0.7086091,97.8286368
KABUPATEN HUMBANG HASUNDUTAN,2.1988508,98.5721016
KABUPATEN PAKPAK BHARAT,2.545786,98.299838
KABUPATEN SAMOSIR,2.3502398,99.2785583
KABUPATEN SERDANG BEDAGAI,3.3371694,99.0571089
KABUPATEN BATU BARA,3.1740979,99.5006143
KABUPATEN PADANG LAWAS UTARA,1.5758644,99.634135
KABUPATEN PADANG LAWAS,1.5758644,99.634135
KABUPATEN LABUHAN BATU SELATAN,1.983,100.0976
KABUPATEN LABUHAN BATU UTARA,2.33349,99.63776
KABUPATEN NIAS UTARA,1.1255279,97.5247243
KABUPATEN NIAS BARAT,1.1255279,97.5247243
KOTA SIBOLGA,1.7403745,98.7827988
KOTA TANJUNG BALAI,2.965122,99.800331
KOTA PEMATANG SIANTAR,2.96,99.06
KOTA TEBING TINGGI,3.3856205,99.2009815
KOTA MEDAN,3.585242,98.6755979
